StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,QID83,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,G1_First Click,G1_Last Click,G1_Page Submit,G1_Click Count,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Passcode_static,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Passcode_improv,PostQues_1,PostQues_2,PostQues_3,PostQues_4,PostQues_5,PostQues_6,PostQues_7,attention_check_1,PostQues_8,PostQues_9,PostQues_10,PostQues_11,PostQues_12,PostQues_13,PostQues_14,PostQues_15,PostQues_16,attention_check_2,PostQues_17,PostQues_18,PostQues_19,PostQues_20,PostQues_21,PostQues_22,PostQues_23,PostQues_24,attention_check_3,PostQues_25,DemModQues_age,DemModQues_education,DemModQues_gender,DemModQues_gender_5_TEXT,DemModQues_AI,DemModQues_Chatbot,attitude/trust in ai_1,attitude/trust in ai_2,attitude/trust in ai_3,attitude/trust in ai_4,attitude/trust in ai_5,attitude/trust in ai_6,attitude/trust in ai_7,attitude/trust in ai_8,attitude/trust in ai_9,attitude/trust in ai_10,attitude/trust in ai_11,DemModQues_personal,DemModQues_interest,Exp_condition,Qualtrics_code
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Welcome! 

This study seeks to evaluate what happens when people view video coverage of a crime.



We want to make you aware that this study involves viewing potentially distressing video content. You will be shown CCTV footage depicting a criminal act. 



If you think you may feel upset, triggered, or disturbed by scenes of this nature, you are under no obligation to participate. You are free to discontinue your participation at any time with no questions asked and no explanation needed. Even if you do choose to proceed with the study after viewing this notification, you still reserve the right to voluntarily withdraw at any point you wish.



The study should take around 15-20 min to complete. You are eligible to participate in this study if you are 18 or above, and you have normal or corrected-to-normal vision and hearing. Your responses will be kept confidential. 



Results from this survey may be used for future academic research publications. Please note that:



1. Your participation is voluntary.

2. Some questions are mandatory. However, if you do not want to answer them, you can exit the survey.

3. At any time, you may decline further participation without adverse consequences. To do this, simply close out of the survey without submitting your answers.

4. You will remain anonymous in any publications or presentations based on the results of this survey. 



By clicking on ""I consent"" below, you acknowledge: Your participation in the study is voluntary. You are 18 years of age or above. You are aware that you may choose to terminate your participation at any time for any reason. Please select if you consent to begin the survey:",Please enter your ID,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Enter the passcode from the chatbot to proceed,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Enter the passcode from the chatbot interaction to proceed,Was there more than one employee present during the incident?,Did the robbers exit the store as a group?,Did you see the robbers arrive by car?,Did the robbery occur without any outside/external interruptions?,Did the robbers do any visible damage to the store's items?,Did you see someone leap over the counter?,Did any customers attempt to exit the store during the robbery?,Select 'probably not' for this question,"From the video, did you see three robbers in total?",Did you see the cashier flee to the back of the store during the robbery?,Did you see the robber put cash into a backpack?,Did you see the cashier or any customers try to make a phone call during the robbery?,Did any of the robbers wear eyeglasses?,Did you see one of the robbers wearing a green hoodie?,Did you see the robber pulling out the knife to threaten the customer?,Did the crime happen during the night time?,Did you see any of the robbers discharge their weapon?,Select 'yes' for this question,Did you see the customer at the cash counter?,Was the cashier present when the robbers entered?,Did you see an emergency telephone in the store?,Did you see one of the robbers wearing a brown hoodie?,Did you see an emergency ATM machine in the store?,Did you see any of the robbers appear to be under 18 years old?,Was a security guard in the store at the time of the robbery?,Did the robbers take items other than cash from the store?,Select 'Definitely not' for this question,Did you see one of the robbers having a tattoo?,What is your age? (in years),What is the highest level of education you have completed?,What is your gender identity? - Selected Choice,What is your gender identity? - Prefer to self-describe - Text,What is your level of familiarity with using AI technology?,What is your level of familiarity with interacting with chatbots?,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - There are many beneficial applications of AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - AI can help people feel happier,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I want to use/interact with AI in daily life,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - AI can provide new economic opportunities,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - Society will benefit from AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I love everything about AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - Some complex decisions should be left to AI,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I would trust my life savings to an AI system,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - I would recommend this agent for my friend,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - The agent is trustworthy,Rate how much you agree with the following statements on a Likert scale of 1 (strongly disagree) to 7 (strongly agree). - The agent is empathetic,Do you have any personal experience related to the scenario in the video?,What is your level of interest in crime investigations and the scenario in the video?,Exp_condition,Qualtrics_code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID78_FIRST_CLICK""}","{""ImportId"":""QID78_LAST_CLICK""}","{""ImportId"":""QID78_PAGE_SUBMIT""}","{""ImportId"":""QID78_CLICK_COUNT""}","{""ImportId"":""QID3_FIRST_CLICK""}","{""ImportId"":""QID3_LAST_CLICK""}","{""ImportId"":""QID3_PAGE_SUBMIT""}","{""ImportId"":""QID3_CLICK_COUNT""}","{""ImportId"":""QID75_FIRST_CLICK""}","{""ImportId"":""QID75_LAST_CLICK""}","{""ImportId"":""QID75_PAGE_SUBMIT""}","{""ImportId"":""QID75_CLICK_COUNT""}","{""ImportId"":""QID92_TEXT""}","{""ImportId"":""QID76_FIRST_CLICK""}","{""ImportId"":""QID76_LAST_CLICK""}","{""ImportId"":""QID76_PAGE_SUBMIT""}","{""ImportId"":""QID76_CLICK_COUNT""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID85""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID86""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID87""}","{""ImportId"":""QID45""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_5_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID11_11""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""Exp_condition""}","{""ImportId"":""Qualtrics_code""}"
2025-03-27 05:39:13,2025-03-27 05:59:13,Survey Preview,*******,100,1200,True,2025-03-27 05:59:13,R_537JHgali9GFdUq,*******,*******,*******,*******,*******,*******,preview,EN,I consent and agree to participate,01,0,0,158.558,0,0,0,150.012,0,226.655,226.655,306.685,1,9560,,,,,,Definitely yes,Definitely yes,Definitely not,Definitely yes,Probably yes,Definitely yes,No,Probably not,Probably yes,Probably yes,Uncertain if yes or no,No,Definitely not,Probably yes,Yes,Definitely yes,Probably yes,Yes,Probably yes,Yes,Probably yes,Probably yes,Probably yes,Yes,Yes,Definitely yes,Definitely not,Probably yes,25,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Non-binary,,7-Very Familiar,6,7 (strongly agree),6,7 (strongly agree),6,7 (strongly agree),5,6,5,6,6,6,No,6,static-chatbot,
2025-03-28 11:06:01,2025-03-28 11:21:39,IP Address,*******,100,938,True,2025-03-28 11:21:40,R_8HtOBJlnewGgwzK,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,00000_test,155.641,155.641,166.865,1,0,0,301.742,0,,,,,,198.35,198.35,302.496,1,9560,Definitely not,Probably yes,Yes,Probably yes,Uncertain if yes or no,No,Definitely not,No,Definitely not,Definitely not,Definitely not,Definitely not,No,No,No,Uncertain if yes or no,Probably yes,Yes,Yes,Yes,Definitely yes,Definitely yes,Definitely yes,Definitely yes,Yes,Yes,Yes,Probably yes,99,Some high school or less,Male,,1-Not familiar at all,1-Not familiar at all,1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),Yes,7-Very interested,chatbot,
2025-03-28 13:17:10,2025-03-28 13:43:33,IP Address,*******,100,1583,True,2025-03-28 13:43:34,R_2OGFTt5r8WDBj5B,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi-Ju 01,3.427,3.427,159.747,1,0,0,300.142,0,,,,,,554.786,561.621,563.281,3,9560,Definitely yes,No,No,Yes,Yes,Definitely yes,No,Probably not,Yes,No,Yes,No,Yes,Definitely yes,Uncertain if yes or no,Definitely yes,No,Yes,No,Yes,No,No,Uncertain if yes or no,Yes,No,Probably not,Definitely not,Uncertain if yes or no,25,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,5,5,6,6,5,5,6,2,5,3,5,5,4,No,6,chatbot,
2025-03-28 14:00:02,2025-03-28 14:17:38,IP Address,*******,100,1056,True,2025-03-28 14:17:39,R_20YkqRnmFc4oGpo,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 02,0,0,156.59,0,0,0,300.017,0,,,,,,,,,,,Definitely yes,Probably yes,Definitely not,Definitely yes,Uncertain if yes or no,Definitely yes,Uncertain if yes or no,Probably not,Probably yes,No,No,No,Definitely yes,Probably yes,Probably not,Yes,Uncertain if yes or no,Yes,No,Definitely yes,Definitely not,Uncertain if yes or no,Definitely not,No,Definitely not,Uncertain if yes or no,Definitely not,Probably not,23,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,3,4,6,5,4,7 (strongly agree),6,1 (strongly disagree),1 (strongly disagree),2,6,4,3,No,2,none,
2025-03-29 10:17:07,2025-03-29 10:48:23,IP Address,*******,100,1876,True,2025-03-29 10:48:23,R_2SIEWIVXhPAFjGd,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 03,7.316,7.316,165.187,1,297.048,297.048,300.157,1,627.34,627.34,632.345,1,9560,,,,,,Probably yes,Probably yes,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Definitely yes,Uncertain if yes or no,Probably not,Probably yes,Uncertain if yes or no,Probably not,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,No,Probably yes,Probably not,Yes,No,Yes,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Definitely not,Uncertain if yes or no,27,Bachelor’s degree,Male,,4,4,6,4,7 (strongly agree),7 (strongly agree),7 (strongly agree),2,4,4,2,1 (strongly disagree),3,No,4,static-chatbot,
2025-03-29 10:57:02,2025-03-29 11:55:43,IP Address,*******,100,3521,True,2025-03-29 11:55:44,R_8gITljZjjFMXSYR,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 04,0,0,161.039,0,0,0,300.136,0,,,,,,,,,,,Probably yes,Probably yes,Probably not,Uncertain if yes or no,Probably yes,No,Probably not,No,Probably yes,Probably not,Probably not,Probably not,Uncertain if yes or no,Uncertain if yes or no,Probably not,Probably yes,Probably not,No,Yes,Yes,Probably not,Uncertain if yes or no,Probably not,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Yes,Uncertain if yes or no,28,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,,4,4,4,4,4,5,4,3,4,4,4,4,4,No,5,none,
2025-03-31 07:25:26,2025-03-31 07:52:15,IP Address,*******,100,1608,True,2025-03-31 07:52:15,R_2db1UnskvmDoVcl,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025.3.31,8.721,21.136,170.379,2,0,0,300.019,0,,,,,,746.127,746.127,748.51,1,9560,Definitely not,Definitely yes,Probably yes,Definitely not,No,Yes,Definitely not,Probably not,Definitely yes,Probably not,No,Definitely not,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely not,Yes,Yes,Definitely yes,No,Definitely yes,Probably not,Definitely not,Definitely not,Definitely yes,Definitely not,Definitely not,27,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,,3,4,5,4,6,6,6,3,3,2,5,4,4,No,5,chatbot,
