StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,QID83,Q78_First Click,Q78_Last Click,Q78_Page Submit,Q78_Click Count,G1_First Click,G1_Last Click,G1_Page Submit,G1_Click Count,Q75_First Click,Q75_Last Click,Q75_Page Submit,Q75_Click Count,Passcode_static,Q76_First Click,Q76_Last Click,Q76_Page Submit,Q76_Click Count,Passcode_improv,PostQues_1,PostQues_2,PostQues_3,PostQues_4,PostQues_5,PostQues_6,PostQues_7,attention_check_1,PostQues_8,PostQues_9,PostQues_10,PostQues_11,PostQues_12,PostQues_13,PostQues_14,PostQues_15,PostQues_16,attention_check_2,PostQues_17,PostQues_18,PostQues_19,PostQues_20,PostQues_21,PostQues_22,PostQues_23,PostQues_24,attention_check_3,PostQues_25,DemModQues_age,DemModQues_education,DemModQues_gender,DemModQues_gender_5_TEXT,DemModQues_AI,DemModQues_Chatbot,attitude/trust in ai_1,attitude/trust in ai_2,attitude/trust in ai_3,attitude/trust in ai_4,attitude/trust in ai_5,attitude/trust in ai_6,attitude/trust in ai_7,attitude/trust in ai_8,attitude/trust in ai_9,attitude/trust in ai_10,attitude/trust in ai_11,DemModQues_personal,DemModQues_interest,Exp_condition,Qualtrics_code
2025-03-31 07:23:14,2025-04-01 11:10:09,IP Address,*******,100,100015,True,2025-04-01 11:10:10,R_2mCOSN6P23hma87,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/1/18：54,3.729,3.729,180.833,1,0,0,300.014,0,,,,,,,,,,,Definitely yes,Definitely yes,Definitely not,Uncertain if yes or no,Yes,Yes,Uncertain if yes or no,Probably not,Yes,Yes,Uncertain if yes or no,Uncertain if yes or no,No,Yes,Probably not,Yes,Uncertain if yes or no,Yes,Probably yes,Yes,Uncertain if yes or no,Probably yes,Uncertain if yes or no,Uncertain if yes or no,No,Uncertain if yes or no,Definitely not,Uncertain if yes or no,28,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,3,5,5,5,6,3,4,4,5,5,4,4,4,No,4,none,
2025-04-02 05:07:33,2025-04-02 05:39:15,IP Address,*******,100,1901,True,2025-04-02 05:39:16,R_3Wfdyj9VyM8yW0V,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/2 13:08,0,0,156.758,0,0.986,0.986,300.018,1,,,,,,739.345,739.345,742.454,1,9560,Yes,Probably not,No,Probably yes,No,Definitely yes,Probably yes,Probably not,Definitely yes,Yes,Yes,No,Probably not,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Definitely not,Yes,28,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,,3,3,7 (strongly agree),6,6,7 (strongly agree),6,5,5,4,5,5,5,No,5,chatbot,
2025-04-02 05:46:58,2025-04-02 06:18:06,IP Address,*******,100,1867,True,2025-04-02 06:18:06,R_8VDaLOMAFhST5Pz,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/2 13:48,16.585,164.681,164.901,3,150.871,150.871,300.017,1,,,,,,1.021,532.974,534.69,2,9560,Definitely yes,Yes,Yes,Definitely yes,No,Yes,No,Probably not,Probably yes,Definitely yes,Definitely yes,No,Probably not,Yes,No,No,No,Yes,No,Yes,No,Probably yes,Probably yes,Definitely not,No,Yes,Definitely not,Uncertain if yes or no,26,Bachelor’s degree,Male,,6,7-Very Familiar,7 (strongly agree),6,7 (strongly agree),6,7 (strongly agree),7 (strongly agree),3,4,6,6,4,No,2,chatbot,
2025-04-02 04:17:04,2025-04-02 06:56:43,IP Address,*******,100,9579,True,2025-04-02 06:56:44,R_6hfEPcCm3qiY8ZC,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/2 13,0,0,174.333,0,0,0,300.226,0,1126.842,1985.031,1988.236,2,9560,,,,,,Definitely yes,Definitely yes,Definitely not,Definitely yes,Probably yes,Definitely yes,Definitely not,Probably not,Definitely yes,Definitely yes,Probably yes,No,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely not,Yes,Definitely yes,Definitely yes,Definitely not,Definitely yes,Definitely not,Probably yes,Definitely yes,No,Definitely not,Definitely not,25,Bachelor’s degree,Male,,4,4,5,4,5,5,5,3,3,3,4,6,4,No,4,static-chatbot,
2025-04-03 15:08:21,2025-04-03 15:20:14,IP Address,*******,100,712,True,2025-04-03 15:20:14,R_2LOoe8a2EkCkP6h,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/3 23,106.976,107.631,152.706,2,151.585,151.585,300.121,1,,,,,,,,,,,Probably not,Definitely yes,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely not,Probably not,Definitely yes,Definitely not,Probably yes,Definitely not,Definitely not,Definitely yes,Definitely not,Definitely yes,Definitely not,Yes,Definitely yes,Definitely yes,Definitely not,Definitely yes,Definitely not,Uncertain if yes or no,Definitely not,Probably not,Definitely not,Definitely not,24,Bachelor’s degree,Female,,5,5,6,4,4,6,5,3,3,2,6,6,6,No,3,none,
2025-04-05 07:26:55,2025-04-05 07:46:46,IP Address,*******,100,1191,True,2025-04-05 07:46:47,R_8esNL8LB483bGfm,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 05,0,0,368.701,0,0,0,300.221,0,,,,,,,,,,,Yes,Definitely yes,No,Definitely yes,Definitely yes,Definitely not,Definitely not,Probably not,Uncertain if yes or no,No,Definitely yes,Definitely not,Definitely not,Definitely yes,Definitely not,Probably not,Definitely not,Yes,Definitely yes,Definitely yes,No,Definitely not,Probably not,No,Definitely not,Definitely not,Definitely not,Definitely not,27,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,6,7-Very Familiar,7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),7 (strongly agree),4,4,No,1-Not interested at all,none,
2025-04-05 07:27:03,2025-04-05 08:04:53,IP Address,*******,100,2270,True,2025-04-05 08:04:54,R_2MrQS38XPV6tJvb,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 08,0,0,343.137,0,0,0,300.011,0,16.796,974.301,983.347,4,9560,,,,,,Definitely yes,Yes,Definitely yes,Yes,Probably yes,Definitely yes,No,Probably not,Definitely yes,Yes,Definitely yes,Uncertain if yes or no,Definitely yes,Definitely yes,No,Yes,No,Yes,Yes,Definitely yes,Probably not,No,No,Uncertain if yes or no,No,Uncertain if yes or no,Definitely not,Probably not,26,Bachelor’s degree,Female,,4,4,6,1 (strongly disagree),1 (strongly disagree),5,1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),1 (strongly disagree),2,1 (strongly disagree),No,4,static-chatbot,
2025-04-05 07:26:06,2025-04-05 08:12:25,IP Address,*******,100,2778,True,2025-04-05 08:12:25,R_223pjaduM1NLlrX,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 06,0,0,163.16,0,269.71,269.71,300.147,1,,,,,,68.759,1664.654,1669.866,9,9560,Yes,Yes,No,Yes,No,Yes,No,Probably not,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,Definitely not,No,27,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,2,2,6,6,4,6,6,3,5,3,3,3,3,No,4,chatbot,
2025-04-05 07:30:08,2025-04-05 08:14:36,IP Address,*******,100,2667,True,2025-04-05 08:14:36,R_8EsAAfKZatTksni,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 07,0,0,442.64,0,0,0,300.306,0,17.362,1550.96,1556.541,15,9560,,,,,,Probably not,Probably yes,No,Probably yes,Yes,Yes,No,Probably not,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Probably not,Probably not,Probably not,No,Probably yes,Definitely not,No,31,Bachelor’s degree,Male,,3,3,6,4,4,7 (strongly agree),6,3,5,2,2,2,2,No,4,static-chatbot,
2025-04-05 08:35:44,2025-04-05 08:53:35,IP Address,*******,100,1071,True,2025-04-05 08:53:35,R_2G9Tq87TJtPu4to,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,Yi Ju 09,0,0,157.379,0,0,0,300.16,0,234.074,234.074,302.878,1,9560,,,,,,Definitely yes,Probably yes,Yes,Yes,Probably not,Yes,Uncertain if yes or no,Probably not,Yes,Probably not,Uncertain if yes or no,Probably not,Probably not,Yes,Probably not,Probably yes,Probably not,Yes,Probably yes,Definitely yes,Uncertain if yes or no,Probably yes,Uncertain if yes or no,Uncertain if yes or no,Probably not,Yes,Definitely not,Probably not,26,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,4,5,6,6,6,5,5,2,2,4,3,3,4,No,4,static-chatbot,
2025-04-06 02:50:06,2025-04-06 03:07:55,IP Address,*******,100,1068,True,2025-04-06 03:07:55,R_2ONUYHbBOXxn0wN,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/6 10:51,2.09,178.324,179.846,2,0.836,151.453,300.01,2,,,,,,,,,,,Yes,Definitely yes,No,Probably yes,Definitely yes,Definitely yes,Probably not,Probably not,Definitely yes,Yes,No,Probably not,No,Definitely yes,Definitely not,Probably yes,Probably not,Yes,Yes,Definitely yes,No,Probably yes,No,Uncertain if yes or no,No,Probably yes,Definitely not,No,37,Bachelor’s degree,Female,,2,2,5,3,3,4,4,3,2,3,4,4,4,No,3,none,
2025-04-06 04:33:55,2025-04-06 04:55:06,IP Address,*******,100,1271,True,2025-04-06 04:55:07,R_11EDxcEedHWdJyY,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/6 12:35,0,0,160.345,0,151.07,151.07,300.117,1,,,,,,361.524,361.524,363.372,1,9560,Yes,Uncertain if yes or no,Probably yes,Probably not,No,Definitely yes,Probably not,Probably not,Probably yes,Probably not,Uncertain if yes or no,No,Probably yes,Yes,Yes,Definitely yes,Probably not,Yes,Uncertain if yes or no,Yes,Definitely yes,Yes,No,No,No,Uncertain if yes or no,Definitely not,Yes,23,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,6,6,6,5,3,4,4,2,2,2,5,3,3,No,4,chatbot,
2025-04-06 14:28:37,2025-04-06 14:49:44,IP Address,*******,100,1266,True,2025-04-06 14:49:44,R_12Gv3mo4rYkZQpr,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yi ju 09,0,0,161.386,0,161.907,163.929,300.12,2,,,,,,320.743,320.743,326.238,1,9560,Definitely yes,Yes,No,Definitely yes,Definitely not,Definitely yes,Definitely not,Probably not,Definitely yes,Definitely not,Yes,Definitely not,Definitely not,Definitely yes,Probably yes,Definitely yes,Definitely not,Yes,Yes,Yes,Definitely not,Yes,Probably yes,Definitely not,Definitely not,Probably yes,Definitely not,No,19,Bachelor’s degree,Male,,7-Very Familiar,7-Very Familiar,7 (strongly agree),7 (strongly agree),4,7 (strongly agree),7 (strongly agree),3,2,2,4,4,1 (strongly disagree),No,3,chatbot,
2025-04-06 15:00:27,2025-04-06 15:20:58,IP Address,*******,100,1231,True,2025-04-06 15:20:59,R_7g9qvUjj1TnONW1,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yi ju 10,4.586,4.586,157.778,1,0.193,0.193,300.221,1,348.003,348.003,360.618,1,9560,,,,,,Definitely yes,Definitely yes,Definitely yes,Yes,Probably not,Definitely yes,Definitely not,Probably not,Definitely yes,Yes,Probably not,Probably not,No,Definitely yes,Probably not,Definitely yes,Probably not,Yes,Yes,Yes,No,Yes,No,Yes,Definitely not,No,Definitely not,No,21,High school diploma or GED,Female,,5,6,6,6,7 (strongly agree),2,6,6,5,6,6,6,3,No,2,static-chatbot,
2025-04-07 04:07:37,2025-04-07 04:25:40,IP Address,*******,100,1082,True,2025-04-07 04:25:40,R_2mCsFXhYRkjTpXA,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/7 12:10,0,0,160.919,0,150.074,299.643,300.017,3,,,,,,,,,,,Definitely yes,Probably not,Definitely not,Definitely yes,Probably not,Definitely yes,Definitely not,Probably not,Definitely yes,Probably not,Probably not,Definitely not,Probably not,Uncertain if yes or no,Definitely not,Definitely yes,Definitely not,Yes,Definitely yes,Definitely yes,Probably not,Uncertain if yes or no,Probably not,Uncertain if yes or no,Definitely not,Probably not,Definitely not,Uncertain if yes or no,27,Bachelor’s degree,Male,,4,4,6,6,7 (strongly agree),7 (strongly agree),7 (strongly agree),4,2,2,4,4,4,Yes,5,none,
2025-03-31 07:06:33,2025-03-31 07:12:42,IP Address,*******,4,368,False,2025-04-07 07:12:44,R_4m9TD2Jr56I1yk7,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,3.31 21.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31 07:12:17,2025-03-31 07:15:01,IP Address,*******,8,163,False,2025-04-07 07:15:03,R_4ZDFBrUvxDY9EqJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,3.31 21.12,12.853,140.913,141.988,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-31 23:02:19,2025-04-01 11:17:28,IP Address,*******,19,44108,False,2025-04-08 11:17:31,R_9H1NWdDCMvVt5Id,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,zxh,79.546,79.546,221.674,1,5.08,5.08,213.29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-02 05:03:09,2025-04-02 05:42:13,IP Address,*******,2,2344,False,2025-04-09 05:42:18,R_9TSgJtx4X2evW0x,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-09 15:14:55,2025-04-09 15:47:28,IP Address,*******,100,1952,True,2025-04-09 15:47:29,R_6OqCHpoq04AlKM5,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yi ju 11,0,0,231.711,0,0,0,300.228,0,,,,,,330.274,807.521,834.669,6,9560,Yes,Probably not,Probably yes,Yes,Uncertain if yes or no,Definitely yes,Definitely not,Probably not,Probably yes,Uncertain if yes or no,Uncertain if yes or no,Uncertain if yes or no,Probably not,Probably yes,Probably not,Uncertain if yes or no,No,Yes,Definitely yes,Definitely yes,Probably not,Probably yes,Probably not,Probably not,No,No,Definitely not,No,26,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,4,5,6,4,6,6,6,5,4,3,4,4,3,No,3,chatbot,
2025-04-10 03:08:45,2025-04-10 03:27:11,IP Address,*******,100,1105,True,2025-04-10 03:27:12,R_2CHg8s77VpI6jzc,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,2025/4/10 11:09,1.451,1.451,172.156,1,0,0,300.015,0,,,,,,,,,,,Probably yes,Uncertain if yes or no,No,Yes,Yes,Yes,No,Probably not,Yes,No,Yes,No,Uncertain if yes or no,Yes,Probably not,Yes,No,Yes,Yes,Yes,No,No,Uncertain if yes or no,Uncertain if yes or no,No,Yes,Definitely not,Uncertain if yes or no,24,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,5,5,6,5,6,4,5,5,4,3,4,4,4,Yes,3,none,
2025-04-10 08:26:59,2025-04-10 08:49:01,IP Address,*******,100,1321,True,2025-04-10 08:49:02,R_45aG6VQe5F1dPsR,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju13,0,0,174.589,0,165.946,165.946,300.2,1,14.804,14.804,500.343,1,9560,,,,,,Yes,Yes,No,Yes,No,Yes,No,Probably not,Yes,No,Probably not,No,Probably not,Probably yes,Probably not,Yes,No,Yes,Probably yes,Yes,No,Yes,No,Yes,No,No,Definitely not,No,27,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,3,5,7 (strongly agree),6,5,7 (strongly agree),7 (strongly agree),4,4,2,5,4,4,No,6,static-chatbot,
2025-04-10 08:27:17,2025-04-10 08:50:22,IP Address,*******,100,1384,True,2025-04-10 08:50:22,R_9MFIbUneqhaWFUJ,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju13,0,0,176.297,0,152.574,152.574,300.148,1,549.104,549.104,550.654,1,9560,,,,,,No,Yes,No,No,No,Probably yes,Uncertain if yes or no,Probably not,Yes,No,No,Probably not,No,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Probably not,Probably not,No,No,Definitely not,No,24,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,5,7-Very Familiar,7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),7 (strongly agree),5,2,6,6,6,Yes,7-Very interested,static-chatbot,
2025-04-11 16:15:41,2025-04-11 16:51:02,IP Address,*******,100,2121,True,2025-04-11 16:51:03,R_83K0z4elDHwiNuV,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju15,0,0,188.429,0,202.696,202.696,300.128,1,,,,,,91.438,1063.971,1079.494,3,9560,Definitely yes,Definitely yes,Yes,Yes,Yes,Definitely yes,No,Probably not,Definitely yes,No,Yes,Probably not,Yes,Uncertain if yes or no,Probably not,Yes,Probably not,Yes,Definitely yes,Yes,Probably not,No,No,No,Probably not,Probably not,Definitely not,No,26,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Male,,5,4,7 (strongly agree),4,3,7 (strongly agree),5,1 (strongly disagree),2,2,2,2,6,No,6,chatbot,
2025-04-12 05:03:12,2025-04-12 05:25:18,IP Address,*******,100,1326,True,2025-04-12 05:25:19,R_4kUpHInT4fXObxN,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,yiju16,0,0,268.599,0,0,0,300.022,0,,,,,,,,,,,Yes,Definitely yes,Uncertain if yes or no,Probably not,Definitely yes,Yes,Probably yes,Probably not,Yes,Yes,Probably not,Yes,Uncertain if yes or no,Yes,Probably not,Yes,Yes,Yes,Probably yes,Probably yes,Uncertain if yes or no,Probably not,Uncertain if yes or no,Probably not,No,Probably yes,Definitely not,Probably not,25,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)",Female,,4,2,6,6,5,3,5,3,4,1 (strongly disagree),4,3,3,No,6,none,
2025-03-31 23:05:07,2025-04-05 07:16:05,IP Address,*******,4,375058,False,2025-04-12 07:16:06,R_9n1RBLCxNGkAMhR,*******,*******,*******,*******,*******,*******,anonymous,EN,I consent and agree to participate,zhang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
