Index,Exp_condition,PostQues_3,PostQues_10,PostQues_14,PostQues_20,PostQues_25,false_memories
37,survey-based,4,5,4,4,2,1
38,static-chatbot,4,3,2,4,2,0
39,none,1,2,2,4,1,0
40,chatbot,4,3,2,2,2,0
41,none,2,6,2,4,2,1
42,chatbot,4,4,4,4,3,0
43,static-chatbot,1,2,2,4,4,0
44,none,2,2,1,4,1,0
45,none,1,2,2,2,1,0
46,chatbot,2,5,5,2,1,2
47,chatbot,1,5,3,4,2,1
48,none,2,2,2,3,1,0
49,static-chatbot,4,4,2,5,2,1
50,none,2,6,2,6,4,2
51,static-chatbot,2,2,2,4,2,0
52,survey-based,2,2,2,6,2,1
53,none,2,4,2,3,1,0
54,none,2,3,2,5,2,1
55,chatbot,4,4,4,4,2,0
56,none,2,2,2,4,2,0
57,none,2,3,1,4,1,0
58,survey-based,5,2,2,2,2,1
59,static-chatbot,6,2,2,4,1,1
60,survey-based,4,4,3,3,2,0
61,survey-based,2,6,2,2,2,1
62,none,5,4,3,4,2,1
63,none,4,5,4,5,2,2
64,static-chatbot,5,5,4,5,2,3
65,chatbot,7,7,7,4,7,4
66,survey-based,3,5,3,4,3,1
67,static-chatbot,1,7,1,7,2,2
68,chatbot,2,3,2,4,2,0
69,none,1,2,2,2,2,0
70,survey-based,1,2,1,5,2,1
71,static-chatbot,1,3,2,5,4,1
72,none,2,5,4,4,4,1
73,survey-based,2,5,4,4,4,1
74,chatbot,1,7,7,7,4,3
75,none,1,4,1,4,1,0
76,survey-based,2,4,2,5,4,1
77,survey-based,4,6,5,2,2,2
78,none,1,6,2,6,1,2
79,static-chatbot,2,2,2,2,2,0
80,none,2,3,6,6,2,2
81,static-chatbot,6,6,6,7,2,4
82,static-chatbot,4,4,4,4,4,0
83,none,2,4,4,4,2,0
84,chatbot,1,5,2,6,4,2
85,none,2,4,2,4,1,0
86,survey-based,5,5,3,5,2,3
87,none,2,3,2,4,2,0
88,chatbot,1,2,2,6,2,1
89,chatbot,6,6,6,5,5,6
90,static-chatbot,2,5,3,4,4,1
91,static-chatbot,2,4,4,6,4,1
92,static-chatbot,2,2,2,5,2,1
93,chatbot,5,5,5,5,2,4
94,none,2,2,2,6,2,1
95,survey-based,1,6,3,4,2,1
96,none,5,2,2,4,2,1
97,static-chatbot,2,4,2,3,1,0
98,static-chatbot,2,3,3,4,4,0
99,none,2,2,2,4,2,0
100,none,1,2,2,3,2,0
101,static-chatbot,6,4,2,5,5,3
102,static-chatbot,4,5,2,4,3,1
103,static-chatbot,3,2,2,4,2,0
104,survey-based,1,5,1,4,2,1
106,survey-based,5,4,4,4,4,1
107,static-chatbot,2,5,2,2,2,1
108,survey-based,4,6,2,2,3,1
109,chatbot,4,6,6,4,4,2
110,none,4,2,1,2,2,0
111,survey-based,2,2,2,6,4,1
112,static-chatbot,3,7,2,5,4,2
113,none,5,2,2,4,4,1
114,none,3,2,2,2,2,0
115,chatbot,4,6,2,2,4,1
116,chatbot,7,4,5,4,4,2
117,chatbot,6,4,3,5,5,3
118,chatbot,4,6,4,7,4,2
119,static-chatbot,1,2,1,2,2,0
120,survey-based,7,6,2,4,2,2
121,static-chatbot,1,6,2,6,4,2
122,static-chatbot,2,3,4,4,4,0
123,chatbot,6,6,2,2,2,2
124,none,4,1,2,2,1,0
125,survey-based,2,4,2,2,1,0
126,chatbot,7,5,1,6,2,3
127,none,1,3,2,4,4,0
128,chatbot,4,4,2,4,4,0
129,static-chatbot,2,2,2,4,2,0
130,static-chatbot,2,7,3,4,4,1
131,static-chatbot,3,4,3,6,2,1
132,survey-based,2,5,2,2,2,1
133,survey-based,3,4,2,3,1,0
134,static-chatbot,2,2,1,1,4,0
135,chatbot,1,4,7,4,4,1
136,survey-based,4,4,2,4,7,1
137,chatbot,2,2,1,5,1,1
138,chatbot,3,7,5,5,5,4
139,static-chatbot,2,6,3,4,4,1
140,chatbot,1,6,6,4,4,2
141,survey-based,4,5,2,5,3,2
142,static-chatbot,2,2,2,6,2,1
143,survey-based,1,2,1,2,1,0
144,chatbot,2,3,2,4,3,0
145,survey-based,5,5,3,3,2,2
146,survey-based,2,2,2,2,2,0
147,survey-based,2,5,4,5,2,2
148,none,7,5,2,4,2,2
149,survey-based,1,4,1,4,1,0
150,none,2,2,2,4,2,0
151,survey-based,2,4,2,2,2,0
152,chatbot,2,6,2,6,6,3
153,chatbot,2,6,2,6,1,2
154,chatbot,4,4,4,4,3,0
155,chatbot,6,4,4,6,4,2
156,survey-based,2,4,2,7,2,1
160,chatbot,2,6,4,4,4,1
161,survey-based,7,5,4,4,5,3
162,static-chatbot,6,6,6,6,4,4
163,chatbot,2,5,3,5,2,2
164,static-chatbot,3,3,5,3,4,1
165,chatbot,7,5,3,5,2,3
166,static-chatbot,5,6,4,6,7,4
167,none,1,5,2,5,2,2
168,survey-based,1,2,4,3,2,0
169,none,2,2,2,4,2,0
170,survey-based,4,4,2,4,4,0
171,none,3,2,3,4,4,0
172,chatbot,3,3,6,5,5,3
173,none,3,4,2,2,2,0
174,static-chatbot,2,2,1,7,1,1
175,static-chatbot,2,4,5,5,2,2
176,chatbot,7,4,4,7,4,2
177,survey-based,2,2,2,2,2,0
178,survey-based,5,3,2,5,2,2
179,none,1,4,1,1,4,0
180,chatbot,2,5,4,5,2,2
181,chatbot,2,6,2,6,4,2
182,none,4,4,2,3,1,0
183,none,6,5,7,7,3,4
184,static-chatbot,3,7,2,4,3,1
185,none,4,4,4,1,1,0
186,none,1,4,2,4,2,0
187,chatbot,6,4,2,6,2,2
188,static-chatbot,5,4,2,5,4,2
189,none,1,3,2,5,1,1
190,survey-based,4,5,2,4,4,1
191,static-chatbot,4,4,2,4,4,0
192,chatbot,2,2,2,2,2,0
193,chatbot,4,5,4,5,4,2
194,none,2,4,2,4,4,0
195,static-chatbot,4,5,5,5,3,3
196,survey-based,6,4,4,5,2,2
197,survey-based,3,5,2,3,2,1
198,none,2,4,2,2,2,0
199,static-chatbot,4,4,2,6,4,1
200,none,2,2,1,6,1,1
201,none,2,3,2,4,1,0
202,none,1,3,2,3,2,0
203,chatbot,2,7,7,6,4,3
204,survey-based,2,6,3,2,2,1
205,chatbot,5,6,5,4,4,3
206,static-chatbot,1,3,3,1,2,0
207,survey-based,4,5,2,1,4,1
208,none,1,3,2,2,4,0
209,chatbot,2,5,4,6,2,2
210,static-chatbot,5,6,5,5,4,4
211,none,2,4,2,4,3,0
212,none,2,2,2,2,4,0
213,static-chatbot,7,7,3,6,4,3
214,chatbot,6,7,4,4,4,2
215,chatbot,2,7,7,7,2,3
216,chatbot,2,4,3,4,4,0
217,static-chatbot,1,6,6,6,4,3
218,survey-based,1,4,2,4,2,0
220,survey-based,7,2,3,4,1,1
221,survey-based,6,3,2,3,2,1
222,static-chatbot,4,5,5,6,4,3
223,chatbot,4,5,2,6,5,3
224,static-chatbot,1,2,2,4,4,0
225,none,7,6,2,3,2,2
226,static-chatbot,4,4,2,4,3,0
227,chatbot,2,3,2,2,2,0
228,chatbot,2,6,6,4,2,2
229,static-chatbot,2,6,3,5,3,2
230,chatbot,4,6,2,4,4,1
231,survey-based,2,6,4,6,4,2
232,survey-based,4,5,6,7,1,3
233,survey-based,2,6,3,5,3,2
234,survey-based,2,3,2,7,2,1
235,survey-based,4,4,2,4,3,0
236,survey-based,1,5,4,4,5,2
237,static-chatbot,5,7,2,6,4,3
239,static-chatbot,1,5,3,6,4,2
240,survey-based,4,2,1,7,1,1
242,chatbot,4,6,2,4,2,1
243,survey-based,4,5,4,4,2,1
